city,country,lat,lng
Kabul,Afghanistan,34.519706,69.16243
Mazar-e Sharif,Afghanistan,36.711337,67.108751
TIRANA,Albania,41.331144,19.826398
Escaldes-Engordany,Andorra,42.51186,1.54227
Buenos Aires,Argentina,-34.612869,-58.445979
Adelaide,Australia,-34.928634,138.599888
Albany,Australia,-35.024782,117.883608
Albury,Australia,-36.080477,146.91628
Ayr,Australia,-19.57586,147.404463
Bathurst,Australia,-33.418091,149.578593
Brisbane,Australia,-27.468968,153.023499
Bunbury,Australia,-33.340354,115.633637
Busselton,Australia,-33.644499,115.348875
Canberra,Australia,-35.282071,149.128667
Central Coast,Australia,-37.046564,143.737582
Collie,Australia,-33.359122,116.153617
Darwin,Australia,-12.46044,130.841047
Devonport,Australia,-41.179756,146.361301
Geelong,Australia,-38.149281,144.359827
Geraldton,Australia,-28.77035,114.614716
Gladstone,Australia,-23.843172,151.256132
Hobart,Australia,-42.882509,147.328123
La Trobe Valley,Australia,-37.57269,143.83783
Launceston,Australia,-41.434081,147.13735
Lower Hunter,Australia,-30.43869,153.02353
Mackay,Australia,-21.141956,149.186515
Melbourne,Australia,-37.814255,144.963146
Moranbah,Australia,-22.003041,148.043266
Mount Isa,Australia,-20.72899,139.493152
Muswellbrook,Australia,-32.268752,150.892901
Newcastle,Australia,-32.927288,151.781253
Palmerston,Australia,-34.852798,139.160062
Perth,Australia,-31.952712,115.86048
Singleton,Australia,-32.566404,151.173397
Sydney,Australia,-33.854816,151.216454
Tamworth,Australia,-31.091797,150.931072
Townsville,Australia,-19.256939,146.823954
Upper Hunter,Australia,-32.050148,150.86838
Wagga Wagga,Australia,-35.114996,147.367774
Whyalla,Australia,-33.038109,137.580132
Wollongong,Australia,-34.424394,150.89385
Wyong,Australia,-33.282513,151.425669
ARNOLDSTEIN,Austria,46.548861,13.746611
BAD ISCHL,Austria,47.71162,13.623933
BAD VöSLAU,Austria,47.965552,16.214807
BIEDERMANNSDORF,Austria,48.083382,16.333677
BLUDENZ,Austria,47.153037,9.821931
BRUCK AN DER MUR,Austria,47.412199,15.272167
DEUTSCHLANDSBERG,Austria,46.818407,15.212387
DORNBIRN,Austria,47.413597,9.742396
EBENTHAL,Austria,48.437204,16.786243
EISENSTADT,Austria,47.84621,16.523759
FELDKIRCH,Austria,47.237567,9.598172
FüRSTENFELD,Austria,47.049993,16.081682
Gänserndorf,Austria,48.340413,16.718453
GRAZ,Austria,47.07081,15.438292
GROSSENZERSDORF,Austria,48.2018,16.55196
HALL IN TIROL,Austria,47.281665,11.507535
HALLEIN,Austria,47.682152,13.095631
HARTBERG,Austria,47.280937,15.969177
HEITERWANG,Austria,47.445838,10.745892
HIMBERG,Austria,48.082003,16.43982
HöCHST,Austria,47.45982,9.637958
IMST,Austria,47.238154,10.740698
INNSBRUCK,Austria,47.26543,11.392769
JUDENBURG,Austria,47.169408,14.660108
KAPFENBERG,Austria,47.440548,15.290167
KEMATEN,Austria,47.249264,16.151595
KLAGENFURT,Austria,46.622816,14.30796
KLOSTERNEUBURG,Austria,48.302197,16.327064
KNITTELFELD,Austria,47.213444,14.832071
KREMS,Austria,48.410838,15.600372
KUFSTEIN,Austria,47.582996,12.169213
LEOBEN,Austria,47.382742,15.094214
LIENZ,Austria,46.829866,12.768127
LIEZEN,Austria,47.567685,14.242051
LINZ,Austria,48.305879,14.286563
LUSTENAU,Austria,47.427654,9.659941
MöDLING,Austria,48.085592,16.283353
MüRZZUSCHLAG,Austria,47.605354,15.672381
SALZBURG,Austria,47.800198,13.041059
SANKT ANDRä IM LAVANTTAL,Austria,47.566031,12.706447
SANKT POELTEN,Austria,47.566031,12.706447
SANKT VEIT AN DER GLAN,Austria,46.767252,14.36132
SCHWAZ,Austria,47.344953,11.708425
SCHWECHAT,Austria,48.139744,16.478031
SPITTAL AN DER DRAU,Austria,46.798221,13.496331
STEYR,Austria,48.039005,14.419128
STEYREGG,Austria,48.285447,14.371846
STOCKERAU,Austria,48.384612,16.20763
TRAISMAIER,Austria,48.37941,15.67562
TULLN,Austria,48.331169,16.056774
VILLACH,Austria,46.616728,13.850027
VöCKLABRUCK,Austria,48.007859,13.646038
WEIZ,Austria,47.217421,15.622169
WELS,Austria,48.156696,14.024405
WIEN,Austria,48.192309,16.371364
WIENER NEUDORF,Austria,48.083362,16.314372
WIENER NEUSTADT,Austria,47.813176,16.244032
WOLFSBERG,Austria,46.839096,14.844832
WöRGL,Austria,47.486932,12.06414
ZELTWEG,Austria,47.191205,14.754924
Hamad Town,Bahrain,26.126746,50.498336
Hidd,Bahrain,26.244054,50.652889
Ma'ameer,Bahrain,26.13319,50.615134
Nabih Saleh,Bahrain,26.182381,50.584301
Ras Hayan,Bahrain,24.54359,46.70794
Barisal,Bangladesh,22.704701,90.370916
Chittagong,Bangladesh,22.3308,91.841286
Dhaka,Bangladesh,23.728216,90.409879
Gazipur,Bangladesh,23.99808,90.422985
Khulna,Bangladesh,22.821696,89.552944
Narayangonj,Bangladesh,23.624337,90.499745
Rajshahi,Bangladesh,24.371551,88.592104
Sylhet,Bangladesh,24.899091,91.86881
AARSCHOT,Belgium,50.985624,4.835056
ANDENNE,Belgium,50.490094,5.104392
ANTWERPEN,Belgium,51.22111,4.399708
BERENDRECHT,Belgium,51.345314,4.327224
BERTRIX,Belgium,49.854656,5.252927
BOOM,Belgium,51.087419,4.365988
BRUGGE,Belgium,51.231579,3.2081
BRUSSELS,Belgium,50.844041,4.367202
CHARLEROI,Belgium,50.412033,4.443624
CHATELET,Belgium,50.404495,4.523721
CORROY LE GRAND,Belgium,50.661439,4.674649
DESSEL,Belgium,51.239571,5.113243
DESTELBERGEN,Belgium,51.05562,3.797889
ENGIS,Belgium,50.582433,5.404311
EVERGEM,Belgium,51.108789,3.707857
GENK,Belgium,50.965486,5.500146
GENT,Belgium,51.099884,3.739013
HABAY LA NEUVE,Belgium,49.73558,5.593251
HASSELT,Belgium,50.964003,5.483998
HERSTAL,Belgium,50.670189,5.640391
HOBOKEN,Belgium,51.179495,4.361785
HOEVENEN,Belgium,51.314074,4.382917
LANDEN,Belgium,50.753293,5.081241
LIEGE,Belgium,50.645138,5.57342
MECHELEN,Belgium,51.028109,4.469871
MENEN,Belgium,50.796988,3.115657
MOERKERKE,Belgium,51.242525,3.355724
MONS,Belgium,50.454957,3.951958
OOSTROZEBEKE,Belgium,50.920398,3.335028
RETIE,Belgium,51.267586,5.084388
ROESELAERE,Belgium,50.84554,4.35571
SAINTE-ODE,Belgium,50.030003,5.529997
SERAING,Belgium,50.596639,5.508338
SOMME-LEUZE,Belgium,50.336585,5.366902
STEENOKKERZEEL,Belgium,50.910763,4.513666
TOURNAI,Belgium,50.60566,3.387826
VEURNE,Belgium,51.072427,2.662132
VIELSALM,Belgium,50.288369,5.917019
VILVOORDE,Belgium,50.930886,4.431961
VIROINVAL,Belgium,50.070186,4.605492
ZELZATE,Belgium,51.200004,3.8105
ZWEVEGEM,Belgium,50.813392,3.340917
ZWIJNDRECHT,Belgium,51.230621,4.318869
Thimphu,Bhutan,27.469613,89.621634
 Plurinational States of,"Bolivia,33.44163,-117.58991
 Plurinational States of,"Bolivia,33.44163,-117.58991
SARAJEVO,Bosnia and Herzegovina,43.851498,18.388613
TUZLA,Bosnia and Herzegovina,44.539111,18.675193
Americana,Brazil,-22.739177,-47.331386
Araçatuba,Brazil,-21.207992,-50.439023
Araraquara,Brazil,-21.788671,-48.17731
Araucária,Brazil,-25.586111,-49.405121
Barra Mansa,Brazil,-22.535025,-44.166518
Bauru,Brazil,-22.32181,-49.070586
Campinas,Brazil,-22.90556,-47.06083
Campos,Brazil,-21.755862,-41.33269
Canoas,Brazil,-29.918303,-51.177922
Cantagalo - Euclidelândia,Brazil,-21.90492,-42.26314
Catanduva,Brazil,-21.133104,-48.971282
Charqueadas,Brazil,-29.955012,-51.62492
Colombo,Brazil,-25.292544,-49.224347
Cordeirópolis – Módolo,Brazil,-22.476832,-47.455055
Cubatão,Brazil,-23.885798,-46.424187
Curitiba,Brazil,-25.428693,-49.272373
Gravataí,Brazil,-29.941282,-50.992465
Itaboraí ,Brazil,-22.749623,-42.855743
Itaguaí,Brazil,-22.86296,-43.775322
Jaboticabal,Brazil,-21.252037,-48.325223
